Index,X,Y
0,95.42132305573976,-281.32680481300065
1,-81.77712166887832,-188.04920199658778
2,103.84203932308958,-263.1859245271713
3,-73.3564054015285,-169.90832171075846
4,112.2627555904394,-245.04504424134203
5,-64.93568913417869,-151.76744142492916
6,120.68347185778923,-226.90416395551273
7,-56.51497286682887,-133.62656113909986
8,129.10418812513905,-208.76328366968343
9,-48.09425659947905,-115.48568085327057
10,137.52490439248885,-190.62240338385413
11,-39.673540332129235,-97.34480056744127
12,145.94562065983868,-172.4815230980248
13,-31.25282406477941,-79.20392028161197
14,154.3663369271885,-154.34064281219554
15,-22.832107797429593,-61.06303999578268
16,162.78705319453832,-136.19976252636621
17,-14.411391530079772,-42.922159709953384
18,171.20776946188815,-118.05888224053693
19,-5.99067526272995,-24.78127942412408
20,179.62848572923798,-99.91800195470763
21,2.43004100461987,-6.6403991382947805
