Index,X,Y
0,188.04920199658778,-81.77712166887832
1,10.850757271969691,11.500481147534519
2,196.46991826393761,-63.636241383049025
3,19.271473539319512,29.64136143336382
4,204.89063453128742,-45.49536109721973
5,27.69218980666933,47.78224171919312
6,213.31135079863725,-27.35448081139043
7,36.11290607401915,65.92312200502242
8,221.73206706598705,-9.213600525561134
9,44.53362234136897,84.06400229085172
10,230.15278333333688,8.927279760268163
11,52.95433860871879,102.20488257668102
12,238.57349960068672,27.06816004609746
13,61.37505487606861,120.34576286251033
14,246.99421586803652,45.20904033192676
15,69.79577114341843,138.48664314833962
16,255.41493213538635,63.349920617756055
17,78.21648741076827,156.62752343416892
18,263.8356484027362,81.49080090358535
19,86.63720367811808,174.76840371999822
20,272.256364670086,99.63168118941468
21,95.0579199454679,192.90928400582752
22,280.6770809374358,117.77256147524398
23,103.47863621281772,211.0501642916568
24,289.09779720478565,135.91344176107327
25,111.89935248016754,229.1910445774861
26,297.51851347213545,154.05432204690257
27,120.32006874751737,247.3319248633154
28,305.93922973948526,172.19520233273184
29,128.74078501486719,265.4728051491447
30,314.3599460068351,190.33608261856116
