Index,X,Y
0,-95.0579199454679,-192.90928400582752
1,-362.9607660992325,-57.52809985266558
2,-86.63720367811808,-174.76840371999822
3,-354.54004983188264,-39.38721956683625
4,-78.21648741076827,-156.62752343416892
5,-346.11933356453284,-21.246339281006954
6,-69.79577114341843,-138.48664314833962
7,-337.69861729718303,-3.1054589951776563
8,-61.37505487606861,-120.34576286251033
9,-329.2779010298332,15.035421290651641
10,-52.95433860871879,-102.20488257668102
11,-320.85718476248337,33.17630157648094
12,-44.53362234136897,-84.06400229085172
13,-312.43646849513357,51.317181862310235
14,-36.11290607401915,-65.92312200502242
15,-304.01575222778376,69.45806214813953
16,-27.69218980666933,-47.78224171919312
17,-295.5950359604339,87.59894243396883
18,-19.271473539319512,-29.64136143336382
19,-287.1743196930841,105.73982271979813
20,-10.850757271969691,-11.500481147534519
21,-278.7536034257343,123.88070300562742
